Title,Source
38th Ward Dems Endorse Brandon Johnson for Mayor,38th Ward Democrats (via Facebookl)
Ald. Tom Tunney backs Paul Vallas for mayor,Crain's Chicago Business
Brandon Johnson nabs another union endorsement for Chicago mayor,Chicago Tribune
Vallas picks up another aldermanic endorsement,Chicago Business
Downtown Ald. Brendan Reilly Endorses Paul Vallas For Mayor,Block Club Chicago
"Editorial: For mayor, the Tribune Editorial Board endorses Paul Vallas",Chicago Tribune
Chicago police union endorses Paul Vallas for mayor,Chicago Tribune
International Union of Elevator Constructors Local 2 Endorses Paul Vallas for Mayor,Chicago Defender
"Chicago mayor race polls paid for by Brandon Johnson, Paul Vallas campaigns separately show many voters still undecided | abc7chicago.com",ABC7 Chicago
More Chicago mayoral endorsements: Abortion rights PAC backs Johnson; 3 police union supporters on City Council back Vallas,Chicago Sun-Times
"Endorsements from Rep. García, Rev. Jackson could be big help for Brandon Johnson, experts say",CBS News Chicago
Chicago Mayoral Runoff Candidate Brandon Johnson Gets Endorsement From Sen. Bernie Sanders,WMAQ-TV
Warren endorses Johnson as Chicago mayoral hopefuls flaunt endorsements,NBC News
School daze with Vallas and Johnson,POLITICO
Top House Democrat Jim Clyburn Endorses Brandon Johnson For Chicago Mayor,HuffPost
Congressman Danny Davis endorses Brandon Johnson in Chicago mayoral race,ABC7 Chicago
"Chicago mayoral candidates Paul Vallas, Brandon Johnson jockey for endorsements",ABC7 Chicago
Raoul backs Johnson in endorsement game,POLITICO
More than thirty-five LGBTQ+ leaders endorse Brandon Johnson for mayor of Chicago,Windy City Times
Coalition of women in 'spirit of Mayor Washington' endorses Johnson,The Chicago Crusader
Vallas vs. Johnson: Here's An Endorsement Guide to the 2023 Chicago Mayoral Election,NBC Chicago
Mayoral candidate Johnson appears at monthly LGBTQ+ event - Windy City Times News,Windy City Times
"Chicagoland Chamber of Commerce, other influential business groups back Vallas for mayor",Crain's Chicago Business
Rep. Jesús 'Chuy' García Endorses Brandon Johnson For Mayor,NBC Chicago
Democratic Party of the 49th Ward - Brandon Johnson Endorsement,Democratic Party of the 49th Ward
Vallas vs. Johnson: An Updated Endorsement Guide to the 2023 Chicago Mayoral Election,NBC Chicago
Ald. Tom Tunney Goes To Bat For Paul Vallas After LGBTQ Leaders Question His Equal Rights Record,Block Club Chicago
Paul Vallas endorsed by former Illinois Secretary of State Jesse White in Chicago mayoral race,ABC7 Chicago
"Mayoral candidates Vallas, Johnson tout support of Polish community at two different press events and some people on social media are 'not having it'",Nadig Newspapers
"Vallas, Johnson notch key endorsements ahead of WGN-TV debate",WGN-TVNews viaYouTube
Four business groups endorse Vallas over Johnson in April 4 mayoral runoff,Chicago Sun-Times
Ald. Chris Taliaferro Faces Runoff Against CB Johnson In 29th Ward Race,Block Club Chicago
Chicago mayoral election: 36 newly elected police district councilors endorse Johnson,FOX 32 Chicago
Tempers Flare As Supporters Of Mayoral Candidates Clash Over Paul Vallas' Education Record,Block Club Chicago
"Bernie Sanders, Chicago Rapper Vic Mensa to Hold Pre-Election Rally for Brandon Johnson",NBC Chicago
ACTORS' EQUITY ASSOCIATION ENDORSES BRANDON JOHNSON FOR MAYOR OF CHICAGO,Actors' Equity Association1913
Johnson and Vallas take names,POLITICO
"AFGE Local 704, Midwest U.S. EPA employees union, endorses Brandon Johnson for Chicago Mayor",us3
Chicago College & University Unions Endorse Brandon Johnson,Illinois Federation of Teachers Union of Professionals
Press Release: Union nurses endorse Brandon Johnson for Chicago mayor,National Nurses United
"Johnson, Vallas continue to rack up endorsements as April 4 runoff nears",CBS News Chicago
Johnson lines up big union endorsement for mayor,Chicago Sun-Times
"UE Western Region, Chicago Locals Endorse Brandon Johnson for Mayor of Chicago",UE Union
Brandon Johnson is the progressive PRO-CHOICE candidate for Mayor that Chicago needs,Chicago NOW PAC
"#MoveOnEndorsed: After endorsing @Brandon4Chicago for Cook County Commissioner & celebrating his win in 2018, Chicago MoveOn members have now overwhelmingly endorsed Mr. Johnson for mayor!",MoveOnviaTwitter
People For the American Way Endorses Brandon Johnson in Chicago Mayoral Race,People for the American Way
Sen. Dick Durbin Endorses Paul Vallas in Chicago Mayoral Race,NBC Chicago
"More mayoral runoff maneuvering: Bobby Rush endorses Vallas, Al Sharpton plans a visit",Crain's Chicago Business
Quinn endorsing Vallas,POLITICO
'Paul and Gery Show' reunited for mayoral runoff as Chico endorses Vallas,Chicago Sun-Times
U.S. Sen. Bernie Sanders endorses Johnson in April 4 mayoral runoff,Chicago Sun-Times
Ald. Walter Burnett Endorses Paul Vallas In Mayoral Runoff,Block Club Chicago
"Endorsement wars continue: Personal PAC supports Johnson, pro-police Hispanic City Council members back Vallas",Chicago Sun-Times
"AG Kwame Raoul to Back Johnson, While Quartet of City Council Members Will Endorse Vallas",NBC Chicago
Bishop Trotter endorses Brandon Johnson: 'He has a plan. And it's fresh',Chicago Sun-Times
Paul Vallas Endorsed By Slate Of Northwest Side Alderpeople,Block Club Chicago
"'Anarchy in Chicago': Ken Griffin, lambasting state of city, touts Vallas for mayor",Crain's Chicago Business
Vallas Endorsed by Chicago Baseball Great Ozzie Guillen,paulvallas2023
Vallas or Johnson? What Black Chicago's political endorsements say about our leaders,The TRiiBE
Mayoral Hopeful Paul Vallas Brings Complicated Chicago Public Schools Legacy,Block Club Chicago
"Bernie Sanders Backs Johnson for Mayor, as Firefighters Union, 5 Black Alderpeople Endorse Vallas",WTTW News
Chicago mayoral election: New poll shows Vallas ahead of Johnson,FOX 32 Chicago
Black Contractors United Endorse Paul Vallas for Mayor of Chicago,The Southland Journal
Chicago Mayoral Election Poll Shows Tight Race With Vallas Ahead of Johnson,NBC Chicago
Alderman Walter Burnett Endorses Vallas for Mayor,Chicago Defender
ANCA endorses Paul Vallas for Chicago Mayor,The Armenian Weekly
That toddlin' town roundup: Poll has Vallas' Black support plummeting,Capitol Fax
Illinois Hispanic Chamber Of Commerce Endorses Paul Vallas For Chicago Mayor,Negocios Now
Watch: Will J.B. Pritzker Endorse Vallas Or Johnson? Illinois Governor Answers,NBC Chicago
